date,pressure
16-10-2020_09:00:19, 1021.84
16-10-2020_09:06:21, 1021.83
16-10-2020_09:11:20, 1021.83
16-10-2020_09:16:17, 1021.90
16-10-2020_09:21:12, 1021.88
16-10-2020_09:26:08, 1021.82
16-10-2020_09:31:03, 1021.87
16-10-2020_09:35:58, 1021.89
16-10-2020_09:40:53, 1021.81
16-10-2020_09:45:48, 1021.75
16-10-2020_09:50:42, 1021.85
16-10-2020_09:55:37, 1021.77
16-10-2020_10:00:32, 1021.80
16-10-2020_10:05:30, 1021.82
16-10-2020_10:10:23, 1021.79
16-10-2020_10:15:18, 1021.80
16-10-2020_10:20:11, 1021.71
16-10-2020_10:25:06, 1021.69
16-10-2020_10:30:00, 1021.70
16-10-2020_10:34:55, 1021.65
16-10-2020_10:39:50, 1021.66
16-10-2020_10:44:44, 1021.65
16-10-2020_10:49:39, 1021.66
16-10-2020_10:54:33, 1021.59
16-10-2020_10:59:28, 1021.60
16-10-2020_11:04:24, 1021.63
16-10-2020_11:09:19, 1021.66
16-10-2020_11:14:14, 1021.61
16-10-2020_11:19:09, 1021.58
16-10-2020_11:24:03, 1021.62
16-10-2020_11:28:58, 1021.56
16-10-2020_11:33:53, 1021.63
16-10-2020_11:38:47, 1021.58
16-10-2020_11:43:41, 1021.46
16-10-2020_11:48:35, 1021.44
16-10-2020_11:53:31, 1021.34
16-10-2020_11:58:25, 1021.30
16-10-2020_12:03:20, 1021.24
16-10-2020_12:08:16, 1021.19
